"S21 Log Mag"
"Frequency (Hz)","dB",
3628344375, -9.679897e+000,
3645219000, -9.023858e+000,
3662093625, -7.847069e+000,
3678968250, -6.096337e+000,
3695842875, -3.954288e+000,
3712717500, -1.966407e+000,
3729592125, -8.099413e-001,
3746466750, -4.346069e-001,
3763341375, -1.664271e-001,
3780216000, 5.393124e-001,
3797090625, 1.794025e+000,
3813965250, 3.450756e+000,
3830839875, 5.100932e+000,
3847714500, 6.165652e+000,
3864589125, 6.530216e+000,
3881463750, 6.679169e+000,
3898338375, 6.972337e+000,
3915213000, 7.456809e+000,
3932087625, 8.040924e+000,
3948962250, 8.553841e+000,
3965836875, 8.803576e+000,
3982711500, 8.807641e+000,
3999586125, 8.746099e+000,
4016460750, 8.729645e+000,
4033335375, 8.754889e+000,
4050210000, 8.773306e+000,
4067084625, 8.728883e+000,
4083959250, 8.665742e+000,
4100833875, 8.598210e+000,
4117708500, 8.563826e+000,
4134583125, 8.573115e+000,
4151457750, 8.598656e+000,
4168332375, 8.604623e+000,
4185207000, 8.631085e+000,
4202081625, 8.671481e+000,
4218956250, 8.692342e+000,
4235830875, 8.655478e+000,
4252705500, 8.584410e+000,
4269580125, 8.493111e+000,
4286454750, 8.430002e+000,
4303329375, 8.441897e+000,
4320204000, 8.544274e+000,
4337078625, 8.643385e+000,
4353953250, 8.586283e+000,
4370827875, 8.331299e+000,
4387702500, 8.020370e+000,
4404577125, 7.783283e+000,
4421451750, 7.709763e+000,
4438326375, 7.836294e+000,
4455201000, 8.075523e+000,
4472075625, 8.289771e+000,
4488950250, 8.408085e+000,
4505824875, 8.437573e+000,
4522699500, 8.361309e+000,
4539574125, 8.257240e+000,
4556448750, 8.244741e+000,
4573323375, 8.372713e+000,
4590198000, 8.537349e+000,
4607072625, 8.624267e+000,
4623947250, 8.587858e+000,
4640821875, 8.446431e+000,
4657696500, 8.298711e+000,
4674571125, 8.186249e+000,
4691445750, 8.083004e+000,
4708320375, 8.054858e+000,
4725195000, 8.101927e+000,
4742069625, 8.090010e+000,
4758944250, 8.036174e+000,
4775818875, 8.091221e+000,
4792693500, 8.239538e+000,
4809568125, 8.391163e+000,
4826442750, 8.439159e+000,
4843317375, 8.299110e+000,
4860192000, 7.999649e+000,
4877066625, 7.718957e+000,
4893941250, 7.622720e+000,
4910815875, 7.734101e+000,
4927690500, 7.978498e+000,
4944565125, 8.233200e+000,
4961439750, 8.412492e+000,
4978314375, 8.420214e+000,
4995189000, 8.262333e+000,
5012063625, 8.088693e+000,
5028938250, 7.994459e+000,
5045812875, 8.042539e+000,
5062687500, 8.218635e+000,
5079562125, 8.396656e+000,
5096436750, 8.453925e+000,
5113311375, 8.362356e+000,
5130186000, 8.167808e+000,
5147060625, 7.975492e+000,
5163935250, 7.910503e+000,
5180809875, 7.958348e+000,
5197684500, 8.107224e+000,
5214559125, 8.299465e+000,
5231433750, 8.404506e+000,
5248308375, 8.382507e+000,
5265183000, 8.284861e+000,
5282057625, 8.205765e+000,
5298932250, 8.201057e+000,
5315806875, 8.274305e+000,
5332681500, 8.349557e+000,
5349556125, 8.406688e+000,
5366430750, 8.440363e+000,
5383305375, 8.438684e+000,
5400180000, 8.397813e+000,
5417054625, 8.361103e+000,
5433929250, 8.330147e+000,
5450803875, 8.302406e+000,
5467678500, 8.265144e+000,
5484553125, 8.230316e+000,
5501427750, 8.184083e+000,
5518302375, 8.150983e+000,
5535177000, 8.185167e+000,
5552051625, 8.287961e+000,
5568926250, 8.361349e+000,
5585800875, 8.375093e+000,
5602675500, 8.333778e+000,
5619550125, 8.257699e+000,
5636424750, 8.192332e+000,
5653299375, 8.180676e+000,
5670174000, 8.237792e+000,
5687048625, 8.362975e+000,
5703923250, 8.429628e+000,
5720797875, 8.343797e+000,
5737672500, 8.132388e+000,
5754547125, 7.948122e+000,
5771421750, 7.876398e+000,
5788296375, 7.953088e+000,
5805171000, 8.123511e+000,
5822045625, 8.300632e+000,
5838920250, 8.407248e+000,
5855794875, 8.399250e+000,
5872669500, 8.313377e+000,
5889544125, 8.203327e+000,
5906418750, 8.129785e+000,
5923293375, 8.159940e+000,
5940168000, 8.252187e+000,
5957042625, 8.340220e+000,
5973917250, 8.369251e+000,
5990791875, 8.335537e+000,
6007666500, 8.254129e+000,
6024541125, 8.206105e+000,
6041415750, 8.167605e+000,
6058290375, 8.159910e+000,
6075165000, 8.207778e+000,
6092039625, 8.286458e+000,
6108914250, 8.333251e+000,
6125788875, 8.328793e+000,
6142663500, 8.277901e+000,
6159538125, 8.233605e+000,
6176412750, 8.230030e+000,
6193287375, 8.269789e+000,
6210162000, 8.311744e+000,
6227036625, 8.310006e+000,
6243911250, 8.260219e+000,
6260785875, 8.218122e+000,
6277660500, 8.228973e+000,
6294535125, 8.281776e+000,
6311409750, 8.333213e+000,
6328284375, 8.360871e+000,
6345159000, 8.352265e+000,
6362033625, 8.314306e+000,
6378908250, 8.236366e+000,
6395782875, 8.159112e+000,
6412657500, 8.146488e+000,
6429532125, 8.203428e+000,
6446406750, 8.269052e+000,
6463281375, 8.308435e+000,
6480156000, 8.264331e+000,
