"S21 Log Mag"
"Frequency (Hz)","dB",
3628344375, -3.247998e+000,
3645219000, -3.245234e+000,
3662093625, -3.264150e+000,
3678968250, -3.251961e+000,
3695842875, -3.236927e+000,
3712717500, -3.255629e+000,
3729592125, -3.257384e+000,
3746466750, -3.254410e+000,
3763341375, -3.237756e+000,
3780216000, -3.258940e+000,
3797090625, -3.324957e+000,
3813965250, -3.383533e+000,
3830839875, -3.389522e+000,
3847714500, -3.374991e+000,
3864589125, -3.354371e+000,
3881463750, -3.355948e+000,
3898338375, -3.373749e+000,
3915213000, -3.363821e+000,
3932087625, -3.359022e+000,
3948962250, -3.354671e+000,
3965836875, -3.342944e+000,
3982711500, -3.342092e+000,
3999586125, -3.380072e+000,
4016460750, -3.412394e+000,
4033335375, -3.454740e+000,
4050210000, -3.438393e+000,
4067084625, -3.416515e+000,
4083959250, -3.384555e+000,
4100833875, -3.372839e+000,
4117708500, -3.369900e+000,
4134583125, -3.368178e+000,
4151457750, -3.382127e+000,
4168332375, -3.413309e+000,
4185207000, -3.457308e+000,
4202081625, -3.513736e+000,
4218956250, -3.540340e+000,
4235830875, -3.542897e+000,
4252705500, -3.519201e+000,
4269580125, -3.494886e+000,
4286454750, -3.431267e+000,
4303329375, -3.392944e+000,
4320204000, -3.401172e+000,
4337078625, -3.461602e+000,
4353953250, -3.481008e+000,
4370827875, -3.456251e+000,
4387702500, -3.423159e+000,
4404577125, -3.431607e+000,
4421451750, -3.440786e+000,
4438326375, -3.452962e+000,
4455201000, -3.493362e+000,
4472075625, -3.534610e+000,
4488950250, -3.597247e+000,
4505824875, -3.602307e+000,
4522699500, -3.576317e+000,
4539574125, -3.518195e+000,
4556448750, -3.441587e+000,
4573323375, -3.405625e+000,
4590198000, -3.409724e+000,
4607072625, -3.428001e+000,
4623947250, -3.452549e+000,
4640821875, -3.483453e+000,
4657696500, -3.547827e+000,
4674571125, -3.629918e+000,
4691445750, -3.659822e+000,
4708320375, -3.598090e+000,
4725195000, -3.523806e+000,
4742069625, -3.489507e+000,
4758944250, -3.479578e+000,
4775818875, -3.461905e+000,
4792693500, -3.439261e+000,
4809568125, -3.446790e+000,
4826442750, -3.484525e+000,
4843317375, -3.504930e+000,
4860192000, -3.502810e+000,
4877066625, -3.504208e+000,
4893941250, -3.496109e+000,
4910815875, -3.542416e+000,
4927690500, -3.587648e+000,
4944565125, -3.621477e+000,
4961439750, -3.620174e+000,
4978314375, -3.564960e+000,
4995189000, -3.514738e+000,
5012063625, -3.501268e+000,
5028938250, -3.518036e+000,
5045812875, -3.546704e+000,
5062687500, -3.547454e+000,
5079562125, -3.541043e+000,
5096436750, -3.545480e+000,
5113311375, -3.557729e+000,
5130186000, -3.566489e+000,
5147060625, -3.560564e+000,
5163935250, -3.556426e+000,
5180809875, -3.602621e+000,
5197684500, -3.701766e+000,
5214559125, -3.728710e+000,
5231433750, -3.686229e+000,
5248308375, -3.640790e+000,
5265183000, -3.596457e+000,
5282057625, -3.570539e+000,
5298932250, -3.577260e+000,
5315806875, -3.656458e+000,
5332681500, -3.782715e+000,
5349556125, -3.839400e+000,
5366430750, -3.831422e+000,
5383305375, -3.766957e+000,
5400180000, -3.697124e+000,
5417054625, -3.658924e+000,
5433929250, -3.664119e+000,
5450803875, -3.690742e+000,
5467678500, -3.685662e+000,
5484553125, -3.675169e+000,
5501427750, -3.690888e+000,
5518302375, -3.752227e+000,
5535177000, -3.816262e+000,
5552051625, -3.848690e+000,
5568926250, -3.818391e+000,
5585800875, -3.734586e+000,
5602675500, -3.682544e+000,
5619550125, -3.676364e+000,
5636424750, -3.700455e+000,
5653299375, -3.748201e+000,
5670174000, -3.818556e+000,
5687048625, -3.843900e+000,
5703923250, -3.806156e+000,
5720797875, -3.776910e+000,
5737672500, -3.752040e+000,
5754547125, -3.734279e+000,
5771421750, -3.775727e+000,
5788296375, -3.813154e+000,
5805171000, -3.821719e+000,
5822045625, -3.811704e+000,
5838920250, -3.802187e+000,
5855794875, -3.782849e+000,
5872669500, -3.773673e+000,
5889544125, -3.804940e+000,
5906418750, -3.810149e+000,
5923293375, -3.810152e+000,
5940168000, -3.813548e+000,
5957042625, -3.798072e+000,
5973917250, -3.801224e+000,
5990791875, -3.781815e+000,
6007666500, -3.789241e+000,
6024541125, -3.809671e+000,
6041415750, -3.820577e+000,
6058290375, -3.820563e+000,
6075165000, -3.794407e+000,
6092039625, -3.739827e+000,
6108914250, -3.742939e+000,
6125788875, -3.760974e+000,
6142663500, -3.784419e+000,
6159538125, -3.836387e+000,
6176412750, -3.856129e+000,
6193287375, -3.864092e+000,
6210162000, -3.837177e+000,
6227036625, -3.805394e+000,
6243911250, -3.808525e+000,
6260785875, -3.820415e+000,
6277660500, -3.830287e+000,
6294535125, -3.857497e+000,
6311409750, -3.858580e+000,
6328284375, -3.856255e+000,
6345159000, -3.847124e+000,
6362033625, -3.846102e+000,
6378908250, -3.863036e+000,
6395782875, -3.868846e+000,
6412657500, -3.883759e+000,
6429532125, -3.888635e+000,
6446406750, -3.898642e+000,
6463281375, -3.895614e+000,
6480156000, -3.901665e+000,
6497030625, -3.917303e+000,
6513905250, -3.939294e+000,
6530779875, -3.976217e+000,
6547654500, -4.008212e+000,
6564529125, -4.001769e+000,
6581403750, -4.006723e+000,
6598278375, -4.006866e+000,
6615153000, -4.019720e+000,
6632027625, -4.036093e+000,
6648902250, -4.006116e+000,
6665776875, -3.990813e+000,
6682651500, -3.973955e+000,
6699526125, -3.990268e+000,
6716400750, -4.016892e+000,
6733275375, -4.069430e+000,
6750150000, -4.163697e+000,
6767024625, -4.268156e+000,
6783899250, -4.259647e+000,
6800773875, -4.169559e+000,
6817648500, -4.109159e+000,
6834523125, -4.126668e+000,
6851397750, -4.143353e+000,
6868272375, -4.189071e+000,
