"S21 Log Mag"
"Frequency (Hz)","dB",
3628344375, 2.918104e+001,
3645219000, 2.917956e+001,
3662093625, 2.915841e+001,
3678968250, 2.914786e+001,
3695842875, 2.913581e+001,
3712717500, 2.910918e+001,
3729592125, 2.910008e+001,
3746466750, 2.910159e+001,
3763341375, 2.909428e+001,
3780216000, 2.908926e+001,
3797090625, 2.908747e+001,
3813965250, 2.909474e+001,
3830839875, 2.910196e+001,
3847714500, 2.910958e+001,
3864589125, 2.911753e+001,
3881463750, 2.912193e+001,
3898338375, 2.912917e+001,
3915213000, 2.913405e+001,
3932087625, 2.913338e+001,
3948962250, 2.912416e+001,
3965836875, 2.912209e+001,
3982711500, 2.912280e+001,
3999586125, 2.910877e+001,
4016460750, 2.907881e+001,
4033335375, 2.904700e+001,
4050210000, 2.903226e+001,
4067084625, 2.901385e+001,
4083959250, 2.901035e+001,
4100833875, 2.899494e+001,
4117708500, 2.898501e+001,
4134583125, 2.898309e+001,
4151457750, 2.898627e+001,
4168332375, 2.899360e+001,
4185207000, 2.901141e+001,
4202081625, 2.902689e+001,
4218956250, 2.904841e+001,
4235830875, 2.905398e+001,
4252705500, 2.906788e+001,
4269580125, 2.908473e+001,
4286454750, 2.909071e+001,
4303329375, 2.909634e+001,
4320204000, 2.909778e+001,
4337078625, 2.907511e+001,
4353953250, 2.904997e+001,
4370827875, 2.900879e+001,
4387702500, 2.897022e+001,
4404577125, 2.893283e+001,
4421451750, 2.888694e+001,
4438326375, 2.883490e+001,
4455201000, 2.878656e+001,
4472075625, 2.875924e+001,
4488950250, 2.874111e+001,
4505824875, 2.874674e+001,
4522699500, 2.876366e+001,
4539574125, 2.879835e+001,
4556448750, 2.883592e+001,
4573323375, 2.887123e+001,
4590198000, 2.890635e+001,
4607072625, 2.894499e+001,
4623947250, 2.897685e+001,
4640821875, 2.898660e+001,
4657696500, 2.897639e+001,
4674571125, 2.895941e+001,
4691445750, 2.893926e+001,
4708320375, 2.891573e+001,
4725195000, 2.889022e+001,
4742069625, 2.886849e+001,
4758944250, 2.885188e+001,
4775818875, 2.883889e+001,
4792693500, 2.881546e+001,
4809568125, 2.880417e+001,
4826442750, 2.879279e+001,
4843317375, 2.880197e+001,
4860192000, 2.880558e+001,
4877066625, 2.880964e+001,
4893941250, 2.881788e+001,
4910815875, 2.882998e+001,
4927690500, 2.885459e+001,
4944565125, 2.887312e+001,
4961439750, 2.888365e+001,
4978314375, 2.889136e+001,
4995189000, 2.888776e+001,
5012063625, 2.887377e+001,
5028938250, 2.883971e+001,
5045812875, 2.879670e+001,
5062687500, 2.874947e+001,
5079562125, 2.869696e+001,
5096436750, 2.864280e+001,
5113311375, 2.859569e+001,
5130186000, 2.857459e+001,
5147060625, 2.857323e+001,
5163935250, 2.859686e+001,
5180809875, 2.860986e+001,
5197684500, 2.863206e+001,
5214559125, 2.866060e+001,
5231433750, 2.869379e+001,
5248308375, 2.872830e+001,
5265183000, 2.874397e+001,
5282057625, 2.875161e+001,
5298932250, 2.874422e+001,
5315806875, 2.874047e+001,
5332681500, 2.872740e+001,
5349556125, 2.872550e+001,
5366430750, 2.873773e+001,
5383305375, 2.876007e+001,
5400180000, 2.876971e+001,
5417054625, 2.876867e+001,
5433929250, 2.875333e+001,
5450803875, 2.873002e+001,
5467678500, 2.870817e+001,
5484553125, 2.867780e+001,
5501427750, 2.863851e+001,
5518302375, 2.860160e+001,
5535177000, 2.856391e+001,
5552051625, 2.855141e+001,
5568926250, 2.855762e+001,
5585800875, 2.858886e+001,
5602675500, 2.862785e+001,
5619550125, 2.866130e+001,
5636424750, 2.868424e+001,
5653299375, 2.869442e+001,
5670174000, 2.868576e+001,
5687048625, 2.867119e+001,
5703923250, 2.863938e+001,
5720797875, 2.859896e+001,
5737672500, 2.855415e+001,
5754547125, 2.853440e+001,
5771421750, 2.852455e+001,
5788296375, 2.853387e+001,
5805171000, 2.855179e+001,
5822045625, 2.857069e+001,
5838920250, 2.858970e+001,
5855794875, 2.860712e+001,
5872669500, 2.861376e+001,
5889544125, 2.861040e+001,
5906418750, 2.859245e+001,
5923293375, 2.857995e+001,
5940168000, 2.856261e+001,
5957042625, 2.854807e+001,
5973917250, 2.853934e+001,
5990791875, 2.855079e+001,
6007666500, 2.857393e+001,
6024541125, 2.863161e+001,
6041415750, 2.867404e+001,
6058290375, 2.870166e+001,
6075165000, 2.871179e+001,
6092039625, 2.870831e+001,
6108914250, 2.868467e+001,
6125788875, 2.864982e+001,
6142663500, 2.860168e+001,
6159538125, 2.855383e+001,
6176412750, 2.851298e+001,
6193287375, 2.850253e+001,
6210162000, 2.851809e+001,
6227036625, 2.855822e+001,
6243911250, 2.861149e+001,
6260785875, 2.865282e+001,
6277660500, 2.867513e+001,
6294535125, 2.868279e+001,
6311409750, 2.866947e+001,
6328284375, 2.864846e+001,
6345159000, 2.861441e+001,
6362033625, 2.857205e+001,
6378908250, 2.853749e+001,
6395782875, 2.852622e+001,
6412657500, 2.853564e+001,
6429532125, 2.856399e+001,
6446406750, 2.857883e+001,
6463281375, 2.859441e+001,
6480156000, 2.860306e+001,
6497030625, 2.860137e+001,
6513905250, 2.858961e+001,
6530779875, 2.856902e+001,
6547654500, 2.854001e+001,
6564529125, 2.852698e+001,
6581403750, 2.851133e+001,
6598278375, 2.849096e+001,
6615153000, 2.849267e+001,
6632027625, 2.851481e+001,
6648902250, 2.855879e+001,
6665776875, 2.859010e+001,
6682651500, 2.861778e+001,
6699526125, 2.862550e+001,
6716400750, 2.862394e+001,
6733275375, 2.860351e+001,
6750150000, 2.856131e+001,
6767024625, 2.851900e+001,
6783899250, 2.848601e+001,
6800773875, 2.846708e+001,
6817648500, 2.845919e+001,
6834523125, 2.845144e+001,
6851397750, 2.848665e+001,
6868272375, 2.852370e+001,
6885147000, 2.855687e+001,
6902021625, 2.857559e+001,
6918896250, 2.858518e+001,
6935770875, 2.857964e+001,
6952645500, 2.855350e+001,
6969520125, 2.849985e+001,
6986394750, 2.844141e+001,
7003269375, 2.841399e+001,
7020144000, 2.840915e+001,
7037018625, 2.841804e+001,
7053893250, 2.843464e+001,
7070767875, 2.845054e+001,
7087642500, 2.848583e+001,
7104517125, 2.851621e+001,
7121391750, 2.855175e+001,
7138266375, 2.856743e+001,
7155141000, 2.857865e+001,
7172015625, 2.858397e+001,
7188890250, 2.858916e+001,
7205764875, 2.859137e+001,
7222639500, 2.858755e+001,
7239514125, 2.859029e+001,
7256388750, 2.858247e+001,
7273263375, 2.858963e+001,
7290138000, 2.858743e+001,
7307012625, 2.858144e+001,
7323887250, 2.857663e+001,
7340761875, 2.856091e+001,
7357636500, 2.852979e+001,
7374511125, 2.852241e+001,
7391385750, 2.852414e+001,
7408260375, 2.852936e+001,
7425135000, 2.854180e+001,
7442009625, 2.855312e+001,
7458884250, 2.855322e+001,
7475758875, 2.856565e+001,
7492633500, 2.857297e+001,
7509508125, 2.857982e+001,
7526382750, 2.858318e+001,
7543257375, 2.859098e+001,
7560132000, 2.859326e+001,
7577006625, 2.859081e+001,
7593881250, 2.857204e+001,
7610755875, 2.854959e+001,
7627630500, 2.852425e+001,
7644505125, 2.850193e+001,
7661379750, 2.850566e+001,
7678254375, 2.850907e+001,
7695129000, 2.852383e+001,
7712003625, 2.851967e+001,
7728878250, 2.852703e+001,
7745752875, 2.853068e+001,
7762627500, 2.855892e+001,
7779502125, 2.857293e+001,
7796376750, 2.859299e+001,
7813251375, 2.860216e+001,
7830126000, 2.859927e+001,
7847000625, 2.859751e+001,
7863875250, 2.858951e+001,
7880749875, 2.858853e+001,
7897624500, 2.858827e+001,
7914499125, 2.857033e+001,
7931373750, 2.854297e+001,
7948248375, 2.851791e+001,
7965123000, 2.850029e+001,
7981997625, 2.850090e+001,
7998872250, 2.848294e+001,
8015746875, 2.847710e+001,
8032621500, 2.848099e+001,
8049496125, 2.848482e+001,
8066370750, 2.849518e+001,
8083245375, 2.851291e+001,
8100120000, 2.853260e+001,
8116994625, 2.854089e+001,
8133869250, 2.855934e+001,
8150743875, 2.857551e+001,
8167618500, 2.860307e+001,
8184493125, 2.863728e+001,
8201367750, 2.865504e+001,
8218242375, 2.865501e+001,
8235117000, 2.863286e+001,
8251991625, 2.861180e+001,
8268866250, 2.859840e+001,
8285740875, 2.857301e+001,
8302615500, 2.855050e+001,
8319490125, 2.853517e+001,
8336364750, 2.852572e+001,
8353239375, 2.852313e+001,
8370114000, 2.853029e+001,
8386988625, 2.853218e+001,
8403863250, 2.853613e+001,
8420737875, 2.854290e+001,
8437612500, 2.854636e+001,
8454487125, 2.854110e+001,
8471361750, 2.853015e+001,
8488236375, 2.852089e+001,
8505111000, 2.851397e+001,
8521985625, 2.851387e+001,
8538860250, 2.851707e+001,
8555734875, 2.853156e+001,
8572609500, 2.853985e+001,
8589484125, 2.854715e+001,
8606358750, 2.854003e+001,
8623233375, 2.852161e+001,
8640108000, 2.849735e+001,
8656982625, 2.846082e+001,
8673857250, 2.844051e+001,
8690731875, 2.841471e+001,
8707606500, 2.840150e+001,
8724481125, 2.840792e+001,
8741355750, 2.842018e+001,
8758230375, 2.843567e+001,
8775105000, 2.847137e+001,
8791979625, 2.851578e+001,
8808854250, 2.855739e+001,
8825728875, 2.858319e+001,
8842603500, 2.859456e+001,
8859478125, 2.857582e+001,
8876352750, 2.852569e+001,
8893227375, 2.847649e+001,
8910102000, 2.843460e+001,
8926976625, 2.840689e+001,
8943851250, 2.840628e+001,
8960725875, 2.841444e+001,
8977600500, 2.841385e+001,
8994475125, 2.842569e+001,
9011349750, 2.844476e+001,
9028224375, 2.846661e+001,
9045099000, 2.847818e+001,
9061973625, 2.847419e+001,
9078848250, 2.844418e+001,
9095722875, 2.839820e+001,
9112597500, 2.836461e+001,
9129472125, 2.835157e+001,
9146346750, 2.834272e+001,
9163221375, 2.835689e+001,
9180096000, 2.835603e+001,
9196970625, 2.836925e+001,
9213845250, 2.838802e+001,
9230719875, 2.840301e+001,
9247594500, 2.840563e+001,
9264469125, 2.837123e+001,
9281343750, 2.831825e+001,
9298218375, 2.826010e+001,
9315093000, 2.822891e+001,
9331967625, 2.820381e+001,
9348842250, 2.818568e+001,
9365716875, 2.817850e+001,
9382591500, 2.818537e+001,
9399466125, 2.822743e+001,
9416340750, 2.829259e+001,
9433215375, 2.836643e+001,
9450090000, 2.843357e+001,
9466964625, 2.847128e+001,
9483839250, 2.846434e+001,
9500713875, 2.844992e+001,
9517588500, 2.840148e+001,
9534463125, 2.834947e+001,
9551337750, 2.829322e+001,
9568212375, 2.823146e+001,
9585087000, 2.819256e+001,
9601961625, 2.819203e+001,
9618836250, 2.820723e+001,
9635710875, 2.822606e+001,
9652585500, 2.823809e+001,
9669460125, 2.825248e+001,
9686334750, 2.826267e+001,
9703209375, 2.823749e+001,
9720084000, 2.820624e+001,
9736958625, 2.817585e+001,
9753833250, 2.815983e+001,
9770707875, 2.816923e+001,
9787582500, 2.819775e+001,
9804457125, 2.823688e+001,
9821331750, 2.828112e+001,
9838206375, 2.833440e+001,
9855081000, 2.837132e+001,
9871955625, 2.840413e+001,
9888830250, 2.840834e+001,
9905704875, 2.837082e+001,
9922579500, 2.830342e+001,
9939454125, 2.822798e+001,
9956328750, 2.818303e+001,
9973203375, 2.816064e+001,
9990078000, 2.815369e+001,
10006952625, 2.816371e+001,
10023827250, 2.818884e+001,
10040701875, 2.821381e+001,
10057576500, 2.824962e+001,
10074451125, 2.826662e+001,
10091325750, 2.826102e+001,
10108200375, 2.824933e+001,
10125075000, 2.823379e+001,
10141949625, 2.820572e+001,
10158824250, 2.817617e+001,
10175698875, 2.815802e+001,
10192573500, 2.816690e+001,
10209448125, 2.820553e+001,
10226322750, 2.824701e+001,
10243197375, 2.827547e+001,
10260072000, 2.830472e+001,
10276946625, 2.831924e+001,
10293821250, 2.829029e+001,
10310695875, 2.822637e+001,
10327570500, 2.813941e+001,
10344445125, 2.805396e+001,
10361319750, 2.798252e+001,
10378194375, 2.792368e+001,
10395069000, 2.790480e+001,
10411943625, 2.791810e+001,
10428818250, 2.797560e+001,
10445692875, 2.802127e+001,
10462567500, 2.809498e+001,
10479442125, 2.818212e+001,
10496316750, 2.827973e+001,
10513191375, 2.832737e+001,
10530066000, 2.832725e+001,
10546940625, 2.828019e+001,
10563815250, 2.826772e+001,
10580689875, 2.824134e+001,
10597564500, 2.820890e+001,
10614439125, 2.818002e+001,
10631313750, 2.813910e+001,
10648188375, 2.812425e+001,
10665063000, 2.811769e+001,
10681937625, 2.810278e+001,
10698812250, 2.808208e+001,
10715686875, 2.806638e+001,
10732561500, 2.803440e+001,
10749436125, 2.801821e+001,
10766310750, 2.803238e+001,
10783185375, 2.806159e+001,
10800060000, 2.808614e+001,
10816934625, 2.812383e+001,
10833809250, 2.815202e+001,
10850683875, 2.819397e+001,
10867558500, 2.821579e+001,
10884433125, 2.822197e+001,
10901307750, 2.819271e+001,
10918182375, 2.813560e+001,
10935057000, 2.809926e+001,
10951931625, 2.804500e+001,
10968806250, 2.801800e+001,
10985680875, 2.797695e+001,
11002555500, 2.794562e+001,
11019430125, 2.791529e+001,
11036304750, 2.789846e+001,
11053179375, 2.788055e+001,
11070054000, 2.784745e+001,
11086928625, 2.783440e+001,
11103803250, 2.784657e+001,
11120677875, 2.785026e+001,
11137552500, 2.786669e+001,
11154427125, 2.789439e+001,
11171301750, 2.794321e+001,
11188176375, 2.800836e+001,
11205051000, 2.806392e+001,
11221925625, 2.812259e+001,
11238800250, 2.817481e+001,
11255674875, 2.821119e+001,
11272549500, 2.822525e+001,
11289424125, 2.823716e+001,
11306298750, 2.822305e+001,
11323173375, 2.821180e+001,
11340048000, 2.818982e+001,
11356922625, 2.816310e+001,
11373797250, 2.813182e+001,
11390671875, 2.811271e+001,
11407546500, 2.807900e+001,
