"S21 Log Mag"
"Frequency (Hz)","dB",
3628344375, -2.913741e+000,
3645219000, -2.923235e+000,
3662093625, -2.915623e+000,
3678968250, -2.920696e+000,
3695842875, -2.907971e+000,
3712717500, -2.934124e+000,
3729592125, -2.937945e+000,
3746466750, -2.942465e+000,
3763341375, -2.942516e+000,
3780216000, -2.955369e+000,
3797090625, -2.960218e+000,
3813965250, -2.979465e+000,
3830839875, -2.976688e+000,
3847714500, -2.978667e+000,
3864589125, -2.978553e+000,
3881463750, -2.984909e+000,
3898338375, -2.991574e+000,
3915213000, -3.003021e+000,
3932087625, -2.999747e+000,
3948962250, -3.014076e+000,
3965836875, -3.015094e+000,
3982711500, -3.029113e+000,
3999586125, -3.041477e+000,
4016460750, -3.032569e+000,
4033335375, -3.045963e+000,
4050210000, -3.052208e+000,
4067084625, -3.078278e+000,
4083959250, -3.081854e+000,
4100833875, -3.088892e+000,
4117708500, -3.087215e+000,
4134583125, -3.091871e+000,
4151457750, -3.101758e+000,
4168332375, -3.122009e+000,
4185207000, -3.153896e+000,
4202081625, -3.146145e+000,
4218956250, -3.146733e+000,
4235830875, -3.144690e+000,
4252705500, -3.159159e+000,
4269580125, -3.159737e+000,
4286454750, -3.176183e+000,
4303329375, -3.178147e+000,
4320204000, -3.180603e+000,
4337078625, -3.189163e+000,
4353953250, -3.197714e+000,
4370827875, -3.210781e+000,
4387702500, -3.220164e+000,
4404577125, -3.235817e+000,
4421451750, -3.218617e+000,
4438326375, -3.245584e+000,
4455201000, -3.252330e+000,
4472075625, -3.264511e+000,
4488950250, -3.283609e+000,
4505824875, -3.289210e+000,
4522699500, -3.322794e+000,
4539574125, -3.334040e+000,
4556448750, -3.327865e+000,
4573323375, -3.320659e+000,
4590198000, -3.335861e+000,
4607072625, -3.360086e+000,
4623947250, -3.392354e+000,
4640821875, -3.397069e+000,
4657696500, -3.366613e+000,
4674571125, -3.368158e+000,
4691445750, -3.362822e+000,
4708320375, -3.398197e+000,
4725195000, -3.418179e+000,
4742069625, -3.432842e+000,
4758944250, -3.429139e+000,
4775818875, -3.425408e+000,
4792693500, -3.424861e+000,
4809568125, -3.444966e+000,
4826442750, -3.453896e+000,
4843317375, -3.460996e+000,
4860192000, -3.468905e+000,
4877066625, -3.473464e+000,
4893941250, -3.487178e+000,
4910815875, -3.494184e+000,
4927690500, -3.501681e+000,
4944565125, -3.510027e+000,
4961439750, -3.526596e+000,
4978314375, -3.530818e+000,
4995189000, -3.548690e+000,
5012063625, -3.554336e+000,
5028938250, -3.575018e+000,
5045812875, -3.608168e+000,
5062687500, -3.629701e+000,
5079562125, -3.644286e+000,
5096436750, -3.653167e+000,
5113311375, -3.645188e+000,
5130186000, -3.662367e+000,
5147060625, -3.704546e+000,
5163935250, -3.707134e+000,
5180809875, -3.715426e+000,
5197684500, -3.669636e+000,
5214559125, -3.640961e+000,
5231433750, -3.638033e+000,
5248308375, -3.659485e+000,
5265183000, -3.651598e+000,
5282057625, -3.651050e+000,
5298932250, -3.662779e+000,
5315806875, -3.676920e+000,
5332681500, -3.694012e+000,
5349556125, -3.712975e+000,
5366430750, -3.685985e+000,
5383305375, -3.679781e+000,
5400180000, -3.695189e+000,
5417054625, -3.696716e+000,
5433929250, -3.697116e+000,
5450803875, -3.693928e+000,
5467678500, -3.699925e+000,
5484553125, -3.710462e+000,
5501427750, -3.723040e+000,
5518302375, -3.746764e+000,
5535177000, -3.743266e+000,
5552051625, -3.716688e+000,
5568926250, -3.719172e+000,
5585800875, -3.734577e+000,
5602675500, -3.761391e+000,
5619550125, -3.789149e+000,
5636424750, -3.784031e+000,
5653299375, -3.772299e+000,
5670174000, -3.809146e+000,
5687048625, -3.842002e+000,
5703923250, -3.858609e+000,
5720797875, -3.801286e+000,
5737672500, -3.765153e+000,
5754547125, -3.739216e+000,
5771421750, -3.752929e+000,
5788296375, -3.813860e+000,
5805171000, -3.847448e+000,
5822045625, -3.817824e+000,
5838920250, -3.801832e+000,
5855794875, -3.825697e+000,
5872669500, -3.832678e+000,
5889544125, -3.901664e+000,
5906418750, -3.902205e+000,
5923293375, -3.870470e+000,
5940168000, -3.833380e+000,
5957042625, -3.829490e+000,
5973917250, -3.812571e+000,
5990791875, -3.811754e+000,
6007666500, -3.812364e+000,
6024541125, -3.822263e+000,
6041415750, -3.853741e+000,
6058290375, -3.871575e+000,
6075165000, -3.882297e+000,
6092039625, -3.836615e+000,
6108914250, -3.837343e+000,
6125788875, -3.840975e+000,
6142663500, -3.876288e+000,
6159538125, -3.923225e+000,
6176412750, -3.951733e+000,
6193287375, -3.920022e+000,
6210162000, -3.914476e+000,
6227036625, -3.923432e+000,
6243911250, -3.899454e+000,
6260785875, -3.897398e+000,
6277660500, -3.864586e+000,
6294535125, -3.862632e+000,
6311409750, -3.881080e+000,
6328284375, -3.893627e+000,
6345159000, -3.911047e+000,
6362033625, -3.939890e+000,
6378908250, -3.972520e+000,
6395782875, -4.025990e+000,
6412657500, -4.033347e+000,
6429532125, -4.001297e+000,
6446406750, -3.985569e+000,
6463281375, -3.975126e+000,
6480156000, -3.951320e+000,
6497030625, -3.964791e+000,
6513905250, -3.975081e+000,
6530779875, -3.996066e+000,
6547654500, -4.028187e+000,
6564529125, -4.044751e+000,
6581403750, -4.023618e+000,
6598278375, -3.985599e+000,
6615153000, -3.996942e+000,
6632027625, -4.012168e+000,
6648902250, -4.049018e+000,
6665776875, -4.119464e+000,
6682651500, -4.126273e+000,
6699526125, -4.101989e+000,
6716400750, -4.106792e+000,
6733275375, -4.080864e+000,
6750150000, -4.056138e+000,
6767024625, -4.033297e+000,
6783899250, -4.017684e+000,
6800773875, -4.031408e+000,
6817648500, -4.038050e+000,
6834523125, -4.090734e+000,
6851397750, -4.090351e+000,
6868272375, -4.091298e+000,
6885147000, -4.065224e+000,
6902021625, -4.051432e+000,
6918896250, -4.049887e+000,
6935770875, -4.076353e+000,
6952645500, -4.090797e+000,
6969520125, -4.099662e+000,
6986394750, -4.092349e+000,
7003269375, -4.097411e+000,
7020144000, -4.086096e+000,
7037018625, -4.103673e+000,
7053893250, -4.087583e+000,
7070767875, -4.113044e+000,
7087642500, -4.100040e+000,
7104517125, -4.149623e+000,
7121391750, -4.176256e+000,
7138266375, -4.199555e+000,
7155141000, -4.199862e+000,
7172015625, -4.215152e+000,
7188890250, -4.187046e+000,
7205764875, -4.153755e+000,
7222639500, -4.172663e+000,
7239514125, -4.160419e+000,
7256388750, -4.192732e+000,
7273263375, -4.218706e+000,
7290138000, -4.216974e+000,
7307012625, -4.201056e+000,
7323887250, -4.238289e+000,
7340761875, -4.230693e+000,
7357636500, -4.231470e+000,
7374511125, -4.240841e+000,
7391385750, -4.230978e+000,
7408260375, -4.221647e+000,
7425135000, -4.185870e+000,
7442009625, -4.218916e+000,
7458884250, -4.234492e+000,
7475758875, -4.254595e+000,
7492633500, -4.262263e+000,
7509508125, -4.310775e+000,
7526382750, -4.287726e+000,
7543257375, -4.343369e+000,
7560132000, -4.345243e+000,
7577006625, -4.311263e+000,
