"S21 Log Mag"
"Frequency (Hz)","dB",
3628344375, -1.118627e+001,
3645219000, -9.737679e+000,
3662093625, -8.173256e+000,
3678968250, -6.679698e+000,
3695842875, -5.425548e+000,
3712717500, -4.425617e+000,
3729592125, -3.568897e+000,
3746466750, -2.775059e+000,
3763341375, -1.946812e+000,
3780216000, -9.839363e-001,
3797090625, 1.707157e-001,
3813965250, 1.513825e+000,
3830839875, 2.956913e+000,
3847714500, 4.251158e+000,
3864589125, 5.159642e+000,
3881463750, 5.672004e+000,
3898338375, 5.957492e+000,
3915213000, 6.186810e+000,
3932087625, 6.472939e+000,
3948962250, 6.819986e+000,
3965836875, 7.121272e+000,
3982711500, 7.263930e+000,
3999586125, 7.252140e+000,
4016460750, 7.191396e+000,
4033335375, 7.150367e+000,
4050210000, 7.126793e+000,
4067084625, 7.076779e+000,
4083959250, 7.049798e+000,
4100833875, 7.046910e+000,
4117708500, 7.060208e+000,
4134583125, 7.053027e+000,
4151457750, 7.054467e+000,
4168332375, 7.087267e+000,
4185207000, 7.149206e+000,
4202081625, 7.189448e+000,
4218956250, 7.201987e+000,
4235830875, 7.175470e+000,
4252705500, 7.156995e+000,
4269580125, 7.158539e+000,
4286454750, 7.175406e+000,
4303329375, 7.220088e+000,
4320204000, 7.255717e+000,
4337078625, 7.261715e+000,
4353953250, 7.225235e+000,
4370827875, 7.124299e+000,
4387702500, 6.966514e+000,
4404577125, 6.818062e+000,
4421451750, 6.742601e+000,
4438326375, 6.751841e+000,
4455201000, 6.815460e+000,
4472075625, 6.891833e+000,
4488950250, 6.966742e+000,
4505824875, 7.023279e+000,
4522699500, 7.003215e+000,
4539574125, 6.889731e+000,
4556448750, 6.764619e+000,
4573323375, 6.714437e+000,
4590198000, 6.710130e+000,
4607072625, 6.701724e+000,
4623947250, 6.732199e+000,
4640821875, 6.855539e+000,
4657696500, 6.999804e+000,
4674571125, 7.045385e+000,
4691445750, 6.991326e+000,
4708320375, 6.967938e+000,
4725195000, 7.034466e+000,
4742069625, 7.129017e+000,
4758944250, 7.183514e+000,
4775818875, 7.199261e+000,
4792693500, 7.177375e+000,
4809568125, 7.139847e+000,
4826442750, 7.062727e+000,
4843317375, 6.954424e+000,
4860192000, 6.827106e+000,
4877066625, 6.745694e+000,
4893941250, 6.744648e+000,
4910815875, 6.786345e+000,
4927690500, 6.837327e+000,
4944565125, 6.860688e+000,
4961439750, 6.845380e+000,
4978314375, 6.789545e+000,
4995189000, 6.690141e+000,
5012063625, 6.604043e+000,
5028938250, 6.544593e+000,
5045812875, 6.526505e+000,
5062687500, 6.565540e+000,
5079562125, 6.667824e+000,
5096436750, 6.820476e+000,
5113311375, 6.948038e+000,
